"table","column","total","nulls","non_numeric","distinct_non_empty","safe"
"achat","id","100","0","0","100","True"
"achatcaisse","id","100","0","0","100","True"
"achatcarburant","id","100","0","0","100","True"
"affectationfiltre","id","100","0","0","100","True"
"affectationhuile","id","32","0","0","32","True"
"annee","id","11","0","0","11","True"
"articlecarburant","id","6","0","0","6","True"
"avance","id","100","0","0","100","True"
"avancegestat","id","100","0","0","100","True"
"avoir","id","100","0","0","100","True"
"avoirbancaire","id","41","0","0","41","True"
"banque","id","3","0","0","3","True"
"bonlivraison","code","100","0","0","100","True"
"caisse","id","100","0","0","100","True"
"carteclient","id","100","0","0","100","True"
"cat","id","16","0","0","16","True"
"categorie","id","100","0","0","100","True"
"chauffeur","id","48","0","0","48","True"
"chefpiste","id","1","0","0","1","True"
"cheque","id","100","0","0","100","True"
"chequereglement","id","100","0","0","100","True"
"client","code","101","1","0","100","True"
"clientgestat","code","85","0","0","85","True"
"clientpassation","id","100","0","0","100","True"
"clientvidange","id","100","0","0","100","True"
"compte","id","2","0","0","2","True"
"creditanterieur","id","100","0","0","100","True"
"creditclient","id","100","0","0","100","True"
"creditpassation","id","100","0","0","100","True"
"degree","id","15","0","0","15","True"
"depense","id","100","0","0","100","True"
"depense_cheque","id","100","0","0","100","True"
"depensegestat","id","100","0","0","100","True"
"employee","code","100","0","0","94","False"
"etatcheque","id","1","0","0","1","True"
"facture","code","100","0","0","100","True"
"factureachat","code","100","2","0","94","False"
"factureachat","id","100","0","0","100","True"
"factureachatcarburant","code","100","0","21","100","False"
"factureachatcarburant","id","100","0","0","100","True"
"facturepassager","code","100","0","0","99","False"
"famillearticle","code","12","0","0","12","True"
"familleclientpassation","id","11","0","0","11","True"
"familledepensegestat","id","48","0","0","48","True"
"familledepensetransport","id","2","0","0","2","True"
"fournisseur","code","100","0","0","100","True"
"gestion","id","4","0","0","4","True"
"gestionrappel","id","6","0","0","6","True"
"historiquepayement","id","100","0","0","100","True"
"imagebl","id","0","0","0","0","True"
"imageemployee","id","0","0","0","0","True"
"imagelavage","id","0","0","0","0","True"
"imagevetement","id","0","0","0","0","True"
"indexdeuxt","id","100","0","0","100","True"
"journal","id","100","0","0","100","True"
"ligne_imagebl","id","90","0","0","90","True"
"lignealimentation","id","100","0","0","100","True"
"lignealimentationcar","id","100","0","0","100","True"
"lignecommande","id","100","0","0","100","True"
"lignecommandepass","id","100","0","0","100","True"
"lignegestion","id","100","0","0","100","True"
"ligneimageemployee","id","100","0","0","100","True"
"ligneimagerendement","id","100","0","0","100","True"
"ligneindex","id","100","0","0","100","True"
"lignepaiegestion","id","100","0","0","100","True"
"lignepaiegestionprime","id","100","0","0","100","True"
"lignepaiegestionrappel","id","100","0","0","100","True"
"lignetransert","id","100","0","0","100","True"
"lignevente","id","100","0","0","100","True"
"lignevidangeproduit","id","100","0","0","100","True"
"marque","id","69","0","0","69","True"
"model","id","100","0","0","100","True"
"note","id","100","0","0","100","True"
"paie","id","100","0","0","100","True"
"paieconge","id","100","0","0","100","True"
"paieprime","id","100","0","0","100","True"
"paramettre","id","1","0","0","1","True"
"pointage","id","100","0","0","100","True"
"pointageconge","id","100","0","0","100","True"
"pompe","id","32","0","0","32","True"
"pompiste","id","100","0","0","100","True"
"produit","code","100","0","41","99","False"
"produit","id","100","0","0","100","True"
"produits","code","100","0","88","100","False"
"produits","id","100","0","0","100","True"
"rappel","id","100","0","0","100","True"
"rendement","id","100","0","0","100","True"
"retour","id","100","0","0","100","True"
"retourcuve","id","100","0","0","100","True"
"role","id","6","0","0","6","True"
"societe","id","1","0","0","1","True"
"soldetpe","id","1","0","0","1","True"
"ticket","id","100","0","0","100","True"
"tpeshell","id","100","0","0","100","True"
"tracegestat","id","100","0","0","100","True"
"tracepaie","id","100","0","0","100","True"
"traceshop","id","100","0","0","100","True"
"tracetransport","id","100","0","0","100","True"
"transaction","id","100","0","0","100","True"
"transactiondepense","id","100","0","0","100","True"
"transactionrecdit","id","100","0","0","100","True"
"transfert","id","100","0","0","100","True"
"tva","id","4","0","0","4","True"
"vente","id","100","0","0","100","True"
"vetement","id","100","0","0","100","True"
"vhecule","id","23","0","0","23","True"
